Тест,№Вопроса,Текст,Вариант1,Вариант2,Вариант3,Вариант4,Вариант5,Правильные,Комментарий
33,1,Какое из приведённых определений наиболее полно раскрывает понятие «общество»?,Совокупность людей,живущих в определенной географической области,Совокупность людей и создаваемых ими материальных и духовных ценностей,Группа людей,объединённых единой целью,Исторически сложившаяся система норм поведения,Совокупность всех государственных учреждений,"[2]","Правильный ответ: 2. Общество включает как людей, так и их материальные и духовные достижения."
33,2,Что из нижеперечисленного характеризует современное общество как информационное?,"Развитие массового производства товаров","Создание систем коммуникации и распространения информации","Развитие аграрного сектора экономики","Преобладание численности аграрного населения","Наличие государственных институтов","[2]","Правильный ответ: 2. Информационное общество характеризуется развитием средств связи и информационных технологий."
33,3,Какой из примеров иллюстрирует взаимодействие общества и природы?,Развитие системы образования в стране,Загрязнение воздуха вследствие промышленного производства,Принятие новых законодательных актов,Развитие музыкального искусства,Совершенствование языка,"[2]","Правильный ответ: 2. Это пример прямого воздействия общества на природную среду."
33,4,Укажите проявление глобального характера экологического кризиса.,"Загрязнение воздуха в одном городе","Сокращение численности редких видов животных на определённой территории","Истощение озонового слоя атмосферы планеты","Загрязнение одной реки","Вырубка лесов в одном регионе","[3]","Правильный ответ: 3. Истощение озонового слоя — это глобальная проблема, затрагивающая всю планету."
33,5,"Какое утверждение наиболее правильно отражает специфику культуры?","Культура — это совокупность знаний отдельных людей","Культура — это совокупность материальных и духовных ценностей, созданных людьми","Культура существует независимо от общества","Культура полностью определяется географией региона","Культура передаётся только генетически","[2]","Правильный ответ: 2. Это классическое определение культуры как результата человеческой деятельности."
33,6,Какие из названных элементов материальной культуры?,"Обычаи и традиции","Научные теории","Архитектурные сооружения","Социальные нормы","Философские учения","[3]","Правильный ответ: 3. Архитектурные сооружения — это материальные объекты культуры."
33,7,Что из нижеперечисленного относится к духовной культуре?,"Жилые здания","Промышленные товары","Философские теории","Сельскохозяйственные орудия","Одежда","[3]","Правильный ответ: 3. Философские теории — это духовная культура."
33,8,Какой вид деятельности людей относится к культурно-просветительской функции общества?,"Производство продуктов питания","Организация системы образования и просвещения","Строительство жилых зданий","Производство одежды","Добыча полезных ископаемых","[2]","Правильный ответ: 2. Образование и просвещение — это функции культуры."
33,9,Укажите основной источник развития культуры.,"Природа и климат","Деятельность людей в процессе материального производства","Географическое положение","Численность населения","Международные контакты","[2]","Правильный ответ: 2. Культура развивается на основе материального производства."
33,10,Какой признак отличает традиционное общество от современного?,"Наличие государства","Низкий уровень развития производственных сил и техники","Наличие письменности","Существование социальных групп","Наличие культуры","[2]","Правильный ответ: 2. Традиционное общество характеризуется низким уровнем развития техники и технологий."
33,11,Что из приведённого является примером духовного производства?,"Сельское хозяйство","Создание литературного произведения","Строительство мостов","Промышленное производство","Сбор урожая","[2]","Правильный ответ: 2. Литература — это результат духовного производства."
33,12,Укажите наиболее значимый фактор развития общества.,"Естественные условия существования людей","Развитие способов производства материальных благ","Климатические условия","Численность населения","Наличие полезных ископаемых","[2]","Правильный ответ: 2. Развитие производства — основной фактор прогресса общества."
33,13,Что такое модернизация?,"Всякое изменение в обществе","Движение общества в сторону его деградации","Процесс перехода от традиционного к современному обществу","Принятие новых законов","Изменение климата","[3]","Правильный ответ: 3. Модернизация — это историческое развитие от традиционного к современному обществу."
33,14,"Какой вывод можно сделать на основе того, что все страны мира включены в международную торговлю?","Все государства имеют одинаковый уровень развития","Экономики стран функционируют независимо друг от друга","Современное общество имеет глобальный характер","Торговля не влияет на экономику","Международных организаций не существует","[3]","Правильный ответ: 3. Включённость в мировую торговлю свидетельствует о глобализации."
33,15,Какое из утверждений верно характеризует роль техники в развитии общества?,"Техника не влияет на общественное развитие","Развитие техники приводит только к отрицательным результатам","Развитие техники оказывает влияние на все стороны жизни общества","Техника изменяет только духовную культуру","Техника не может решить социальные проблемы","[3]","Правильный ответ: 3. Техника революционизирует все аспекты общественной жизни."
33,16,Что из приведённого относится к культурным ценностям?,"Полезные ископаемые","Научные открытия","Леса и парки","Климат","Географический ландшафт","[2]","Правильный ответ: 2. Научные открытия — это культурные ценности общества."
33,17,Укажите проявление динамизма культуры.,"Культура остаётся неизменной с течением времени","Культура развивается и совершенствуется","Культура существует независимо от общества","Культура передаётся только генетически","Культура одинакова у всех народов","[2]","Правильный ответ: 2. Динамизм культуры проявляется в её развитии и изменении."
33,18,Что способствует распространению культуры в современном мире?,"Изоляция стран","Развитие средств массовой коммуникации","Запрет на культурный обмен","Отсутствие международных контактов","Закрытие границ","[2]","Правильный ответ: 2. Средства коммуникации облегчают распространение культуры."
33,19,Какой из этих факторов оказывает основное влияние на формирование менталитета народа?,"Только генетика","История и культура народа","Только климат","Только численность населения","Только язык","[2]","Правильный ответ: 2. Менталитет формируется историей и культурным наследием."
33,20,Укажите черту информационного общества.,"Преобладание сельского хозяйства","Ограниченный доступ к информации","Развитая система информационных технологий и коммуникаций","Отсутствие науки","Жёсткая централизация","[3]","Правильный ответ: 3. Информационное общество характеризуется развитием информационных технологий."
33,21,Что из названного относится к социальным факторам развития общества?,"Географический ландшафт","Климат","Деятельность людей и социальные отношения","Полезные ископаемые","Растительный и животный мир","[3]","Правильный ответ: 3. Социальные факторы связаны с деятельностью людей и их отношениями."
